della_001, 00:00:00.000, 00:00:09.040

della_002, 00:00:13.000, 00:00:25.050

della_003, 00:00:29.025, 00:00:32.075

della_004, 00:00:35.050, 00:00:39.050

della_005, 00:00:43.075, 00:00:47.000

della_006, 00:00:51.025, 00:00:53.075

della_007, 00:00:58.025, 00:01:02.075

della_008, 00:01:06.075, 00:01:12.025

della_009, 00:01:16.050, 00:01:21.025

della_010, 00:01:26.025, 00:01:29.050

della_011, 00:01:35.000, 00:01:38.000

della_012,00:01:42.000, 00:01:46.075

della_013, 00:01:51.050, 00:01:55.050

della_014, 00:01:59.025, 00:02:03.050

della_015, 00:02:07.000, 00:02:10.075

amazon que,
