#-- Awalnya dari Bagian 1: Pemanasan
della_001.wav|Halo, nama saya Della, dan ini adalah sesi rekaman suara untuk proyek AI.
della_002.wav|Satu, dua, tiga, empat, lima, enam, tujuh, delapan, sembilan, sepuluh.
della_003.wav|Hari ini cuacanya cukup cerah.
della_004.wav|Saya sedang bekerja dari kantor hari ini.
della_005.wav|Apakah kamu sudah makan siang?
della_006.wav|Terima kasih atas bantuan Anda.
della_007.wav|Tolong kirimkan laporannya sebelum jam lima sore.
della_008.wav|Selamat pagi, selamat siang, dan selamat malam.
della_009.wav|Website perusahaan kita perlu diperbarui tampilannya.
della_010.wav|Jaringan internet di sini terkadang lambat.
della_011.wav| Rapat akan dimulai sepuluh menit lagi.
della_012.wav| Proyek ini harus selesai sesuai tenggat waktu yang ditentukan.
della_013.wav| Kopi atau teh, mana yang lebih kamu suka?
della_014.wav| Saya akan mengambil cuti beberapa hari di bulan depan.
della_015.wav| Kinerja tim kita semester ini sangat membanggakan.

#-- Bagian 2: Kalimat Umum
della_016.wav| Saya suka mendengarkan musik saat bekerja.
della_017.wav| Apakah kamu sudah menonton film terbaru itu?
della_018.wav| Liburan akhir tahun ini saya berencana ke Bali.
della_019.wav| Olahraga pagi sangat baik untuk kesehatan.
della_020.wav| Saya sedang belajar bahasa pemrograman baru.
della_021.wav| Makanan favorit saya adalah nasi goreng.
della_022.wav| Apakah kamu suka membaca buku fiksi?
della_023.wav| Saya biasanya bangun jam enam pagi.

#-- Bagian 3: Kalimat Kompleks
della_024.wav| Meskipun cuaca sedang hujan, saya tetap bersemangat untuk menyelesaikan pekerjaan saya.
della_025.wav| Jika kamu membutuhkan bantuan, jangan ragu untuk menghubungi saya kapan saja.
della_026.wav| Setelah menyelesaikan tugas ini, kita bisa merayakannya dengan makan malam bersama.
della_027.wav| Karena proyek ini sangat penting, kita harus memastikan semuanya berjalan sesuai rencana.
della_028.wav| Meskipun tantangan yang kita hadapi cukup besar, saya yakin kita bisa mengatasinya bersama.
della_029.wav| Saya percaya bahwa dengan kerja keras dan dedikasi, kita bisa mencapai tujuan kita.
della_030.wav| Ketika saya memiliki waktu luang, saya suka berjalan-jalan di taman.
della_031.wav| Walaupun jadwal kita sangat padat, kita harus tetap menjaga keseimbangan antara kerja dan istirahat.
della_032.wav| Saya berharap kita bisa terus bekerja sama dengan baik di masa depan.
della_033.wav| Setelah mendengar presentasi tersebut, saya merasa lebih yakin dengan arah proyek kita.
della_034.wav| Meskipun ada beberapa kendala, saya yakin kita
